,melyseg,csucs_ellenallas,palast_ellenallas,porus_viznyomas,surlodasi_aranyszam
482,9.64,18.83,0.29111,0.0,1.54
483,9.66,18.961,0.22302,0.0,1.191
484,9.68,18.404,0.15493,0.0,0.841
485,9.7,17.733,0.14569,0.0,0.814
486,9.72,17.41,0.13584,0.0,0.772
487,9.74,17.111,0.126,0.0,0.729
488,9.76,17.299,0.12424,0.0,0.729
489,9.78,17.488,0.1411,0.0,0.828
490,9.8,17.756,0.16466,0.0,0.931
491,9.82,17.123,0.18634,0.0,1.048
492,9.84,16.436,0.1957,0.0,1.101
493,9.86,15.75,0.18966,0.0,1.106
494,9.88,14.883,0.19206,0.0,1.255
495,9.9,13.279,0.19298,0.0,1.389
496,9.92,11.515,0.17405,0.0,1.441
497,9.94,9.932,0.16161,0.0,1.541
498,9.96,8.652,0.17378,0.0,1.896
499,9.98,7.717,0.19285,0.0,2.387
500,10.0,6.942,0.20784,0.0,2.856
501,10.02,6.051,0.21182,0.0,3.248
502,10.04,5.318,0.20417,0.0,3.626
503,10.06,4.691,0.18897,0.0,3.806
504,10.08,4.166,0.17371,0.0,3.959
505,10.1,3.873,0.15681,0.0,3.952
506,10.12,3.65,0.13897,0.0,3.744
507,10.14,3.612,0.12837,0.0,3.547
508,10.16,3.605,0.11887,0.0,3.283
509,10.18,3.603,0.121,0.0,3.376
510,10.2,3.636,0.1212,0.0,3.362
511,10.22,3.756,0.12818,0.0,3.476
512,10.24,3.854,0.13594,0.0,3.547
513,10.26,3.98,0.13794,0.0,3.516
514,10.28,4.118,0.14363,0.0,3.563
515,10.3,4.253,0.14145,0.0,3.362
516,10.32,3.983,0.13414,0.0,3.227
517,10.34,3.703,0.12642,0.0,3.287
518,10.36,3.425,0.11531,0.0,3.251
519,10.38,3.197,0.10919,0.0,3.341
520,10.4,3.275,0.106,0.0,3.342
521,10.42,3.46,0.1063,0.0,3.155
522,10.44,3.725,0.11103,0.0,3.084
523,10.46,3.847,0.12165,0.0,3.161
524,10.48,3.731,0.12862,0.0,3.408
525,10.5,3.633,0.12432,0.0,3.394
526,10.52,3.592,0.12946,0.0,3.616
